iter	Passed	Remaining
0	1	174
1	3	170
2	5	163
3	6	149
4	7	149
5	9	149
6	11	148
7	12	147
8	14	146
9	16	145
10	18	151
11	20	150
12	22	148
13	23	146
14	25	144
15	27	142
16	28	140
17	30	138
18	32	137
19	34	136
20	35	134
21	37	133
22	39	131
23	41	130
24	42	128
25	44	127
26	47	127
27	48	125
28	50	123
29	52	121
30	54	120
31	55	118
32	57	116
33	60	116
34	62	115
35	64	114
36	65	112
37	67	110
38	69	108
39	70	106
40	72	104
41	73	101
42	75	99
43	76	97
44	78	96
45	80	94
46	82	92
47	84	91
48	85	89
49	87	87
50	89	86
51	91	84
52	93	82
53	95	81
54	96	79
55	98	77
56	100	75
57	102	74
58	104	72
59	106	70
60	107	68
61	109	67
62	111	65
63	114	64
64	117	63
65	122	62
66	124	61
67	127	60
68	130	58
69	132	56
70	134	54
71	136	53
72	139	51
73	142	50
74	145	48
75	147	46
76	149	44
77	151	42
78	153	40
79	155	38
80	158	37
81	160	35
82	162	33
83	164	31
84	166	29
85	168	27
86	170	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	185	11
94	187	9
95	188	7
96	190	5
97	192	3
98	193	1
99	195	0
